web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
coley2006,56,1,0.03030303,0.333333333,-0.666666667,0.837837838,1,1,1,0.333333333,2.891891892,0,0,0.021731528,0.009153098,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,57,1,0.03030303,0.166666667,-0.833333333,0.864864865,1,1,1,0.166666667,2.459459459,0,0,0.026102813,0.010527871,134217776.5,0,1,0.034979179,0.068181818,0
coley2006,58,1,0.03030303,0.5,-0.5,0.891891892,1,1,1,0.5,3.216216216,0,0,0.018734076,0.00793905,134217776.5,0,1,0.034979179,0.022727273,0.613147193
coley2006,59,1,0.03030303,0.2,-0.8,0.918918919,1,1,1,0.2,2.216216216,0,0,0.027726433,0.011098131,134217776.5,0,1,0.034979179,0.056818182,0.101755598
coley2006,60,1,0.03030303,0.333333333,-0.666666667,0.945945946,1,1,1,0.333333333,3.351351351,0,0,0.019033821,0.008761682,134217776.5,0,1,0.034979179,0.034090909,0.386852807
coley2006,61,7,0.212121212,2.983333333,0.283333333,0.081081081,0.8125,0.8125,0.340692572,0.426190476,1.783783784,0.120652574,0.210181428,0.035719638,0.017074047,536870961.2,1.945910149,7,0.244854255,0.25,0.355570579
coley2006,62,2,0.060606061,0.366666667,-0.316666667,0.351351351,0.96875,0.96875,0.695970545,0.183333333,2.432432432,0.000483559,0.000459313,0.026852176,0.01338468,268435505,0.693147181,2,0.069958359,0.125,0
coley2006,63,8,0.242424242,4.066666667,0.383333333,0.027027027,0.78125,0.78125,0.3125,0.508333333,1.945945946,0.117251543,0.089091327,0.034220912,0.014320169,2147483652,2.079441542,8,0.279833434,0.25,0.450905852
coley2006,64,8,0.242424242,3.066666667,0.258333333,0.054054054,0.78125,0.78125,0.3125,0.383333333,1.621621622,0.284084001,0.284436959,0.03871709,0.017295788,2147483652,2.079441542,8,0.279833434,0.318181818,0.273544319
coley2006,65,4,0.121212121,1.866666667,0.216666667,0.108108108,0.90625,0.90625,0.475985819,0.466666667,2.027027027,0.084496178,0.077225752,0.031473248,0.012805536,2147483650,1.386294361,4,0.139916717,0.136363636,0.424981813
coley2006,66,4,0.121212121,1.916666667,0.229166667,0.135135135,0.90625,0.90625,0.475985819,0.479166667,2.054054054,0.049081238,0.040649162,0.030723885,0.012867398,2147483650,1.386294361,4,0.139916717,0.125,0.458688926
